Date,Category,News
2025-03-13,business,Axis Bank sector shows 7% growth
2025-03-14,economy,Sensex 480 points on drops
2025-03-15,markets,RBI maintains repo rate at 4%
2025-03-16,technology,Sensex 597 points on gains
2025-03-17,finance,Axis Bank announces merger with SBI
2025-03-18,business,Bharti Airtel reports 9% growth in Q3
2025-03-19,economy,SBI launches new cloud solution product
2025-03-20,markets,Sensex 879 points on gains
2025-03-21,technology,Government announces regulatory policy
2025-03-22,finance,Bharti Airtel sector shows 25% growth
2025-03-23,business,HDFC Bank sector shows 25% growth
2025-03-24,economy,Foreign investors gains Indian markets
2025-03-25,markets,Foreign investors gains Indian markets
2025-03-26,technology,Global markets rises on oil prices concerns
